Date/Time,avg,max,min
2024-04-17 00:00:00,6.38,8.14,4.57
2024-04-16 00:00:00,17.26,27.31,6.31
2024-04-15 00:00:00,20.84,30.99,10.73
2024-04-14 00:00:00,18.98,28.6,9.29
2024-04-13 00:00:00,18.22,26.49,10.44
2024-04-12 00:00:00,18.09,25.88,10.78
2024-04-11 00:00:00,15.88,22.36,10.22
2024-04-10 00:00:00,20.3,29.67,11.51
2024-04-09 00:00:00,19.9,29.64,11.29
2024-04-08 00:00:00,18.53,27.2,10.69
2024-04-07 00:00:00,18.42,28.05,9.48
2024-04-06 00:00:00,16.68,25.63,7.32
2024-04-05 00:00:00,15.41,24.03,8.11
2024-04-04 00:00:00,15.45,21.56,10.56
2024-04-03 00:00:00,14.25,21.18,6.15
2024-04-02 00:00:00,15.14,22,10.21
2024-04-01 00:00:00,21.16,29.3,12.22
2024-03-31 00:00:00,20.46,29,13.64
2024-03-30 00:00:00,19.48,29.11,9.87
2024-03-29 00:00:00,16.35,25.31,9.66
2024-03-28 00:00:00,15.83,22.26,11.02
2024-03-27 00:00:00,12.22,16.93,7.83
2024-03-26 00:00:00,9.05,17.68,0.53
2024-03-25 00:00:00,6.72,12.35,1.52
2024-03-24 00:00:00,7.15,17.71,2.88
2024-03-23 00:00:00,13.45,23.5,2.74
2024-03-22 00:00:00,10.2,18.41,2.09
2024-03-21 00:00:00,8.1,16.91,-0.99
2024-03-20 00:00:00,6.16,14.11,0
2024-03-19 00:00:00,5.67,9.75,0.03
2024-03-18 00:00:00,9.22,15.29,3.66
2024-03-17 00:00:00,11.44,16.86,4.95
2024-03-16 00:00:00,10.13,17.8,2.42
2024-03-15 00:00:00,10.11,17.06,5
2024-03-14 00:00:00,8.99,12.43,7.14
2024-03-13 00:00:00,9.48,12.25,8.07
2024-03-12 00:00:00,10.73,16.74,3.54
2024-03-11 00:00:00,12.26,15.97,9.34
2024-03-10 00:00:00,11.78,18.8,6.81
2024-03-09 00:00:00,6.5,14.96,0
2024-03-08 00:00:00,6.02,11.16,0.91
2024-03-07 00:00:00,6.26,7.75,5.31
2024-03-06 00:00:00,9.64,14.4,6.37
2024-03-05 00:00:00,11.73,18.28,4.75
2024-03-04 00:00:00,10.74,16.73,5.1
2024-03-03 00:00:00,10.56,18.87,4.33
2024-03-02 00:00:00,9.39,13.69,5.28
2024-03-01 00:00:00,11.32,15.83,9.19
2024-02-29 00:00:00,11.41,16.34,6.79
2024-02-28 00:00:00,12.99,18.95,8.89
2024-02-27 00:00:00,12.47,17.96,8.69
2024-02-26 00:00:00,13.7,20.76,9.37
2024-02-25 00:00:00,12.28,19.6,6.67
2024-02-24 00:00:00,12.46,14.32,8.25
2024-02-23 00:00:00,11.93,17,6.86
2024-02-22 00:00:00,7.23,15.6,0.01
2024-02-21 00:00:00,7.7,12.05,1.18
2024-02-20 00:00:00,7.39,12.76,3.16
2024-02-19 00:00:00,6.01,14.28,0.11
2024-02-18 00:00:00,8.47,13.01,3.57
2024-02-17 00:00:00,6.75,16.79,0.02
2024-02-16 00:00:00,5.1,14.34,-1.97
2024-02-15 00:00:00,4.29,12.53,-1.89
2024-02-14 00:00:00,5.93,10.26,0.06
2024-02-13 00:00:00,8.3,11.17,6.23
2024-02-12 00:00:00,9.75,12.54,7.63
2024-02-11 00:00:00,15.32,18.75,9.16
2024-02-10 00:00:00,13.24,19.7,8.23
2024-02-09 00:00:00,9.24,17.72,2.19
2024-02-08 00:00:00,9.72,17.65,4.64
2024-02-07 00:00:00,8.23,16.18,0.84
2024-02-06 00:00:00,7.81,17.43,0.8
2024-02-05 00:00:00,8.51,15.7,2.93
2024-02-04 00:00:00,9.31,15.33,5.4
2024-02-03 00:00:00,6.06,13.57,0.06
2024-02-02 00:00:00,4.28,8.76,0.06
2024-02-01 00:00:00,1.91,9.13,-3.97
2024-01-31 00:00:00,0.51,6.47,-3.92
2024-01-30 00:00:00,1.01,7.01,-3.92
2024-01-29 00:00:00,1.41,6.44,-1.99
2024-01-28 00:00:00,3.06,6.07,0.71
2024-01-27 00:00:00,5.01,8.28,1.31
2024-01-26 00:00:00,4.76,9.17,0.34
2024-01-25 00:00:00,6.98,11.81,2.05
2024-01-24 00:00:00,0.49,3.97,-3.94
2024-01-23 00:00:00,-0.45,0.92,-3.95
2024-01-22 00:00:00,-0.83,2.74,-4
2024-01-21 00:00:00,-1.49,2.25,-4.96
2024-01-20 00:00:00,0.36,3.12,-1.96
2024-01-19 00:00:00,4.26,9.53,0.01
2024-01-18 00:00:00,9,15.25,3.52
2024-01-17 00:00:00,3.05,7.65,-0.99
2024-01-16 00:00:00,1.97,7.05,0.04
2024-01-15 00:00:00,1.95,5.16,-0.87
2024-01-14 00:00:00,-1.71,2.85,-6.98
2024-01-13 00:00:00,-1.82,1.04,-6.94
2024-01-12 00:00:00,-2.36,0.98,-5
2024-01-11 00:00:00,-5.75,-4.01,-8.82
2024-01-10 00:00:00,-5.42,-0.16,-8
2024-01-09 00:00:00,-2.68,-0.01,-6.98
2024-01-08 00:00:00,0.1,3.07,-2
2024-01-07 00:00:00,7.71,10.57,3.23
2024-01-06 00:00:00,9.12,10.86,7.63
2024-01-05 00:00:00,5.56,10.84,1.03
2024-01-04 00:00:00,6.9,12.48,3.15
2024-01-03 00:00:00,6.81,9.47,2.68
2024-01-02 00:00:00,3.78,10.82,0.01
2024-01-01 00:00:00,6.02,12.25,2.78
2023-12-31 00:00:00,4.65,12.21,0.29
2023-12-30 00:00:00,6.8,11.95,1.75
2023-12-29 00:00:00,5.03,12.34,0.03
2023-12-28 00:00:00,4.8,13.66,0.27
2023-12-27 00:00:00,5.95,12.39,2.09
2023-12-26 00:00:00,6.21,14.24,1.46
2023-12-25 00:00:00,7.63,15.87,3.36
2023-12-24 00:00:00,6.6,11.69,2.94
2023-12-23 00:00:00,4.21,7.32,3.08
2023-12-22 00:00:00,6.17,9.04,3.17
2023-12-21 00:00:00,4.41,9.82,0.41
2023-12-20 00:00:00,2.66,7.15,0.07
2023-12-19 00:00:00,2.65,9.64,-1.87
2023-12-18 00:00:00,1.48,7.62,-2
2023-12-17 00:00:00,0.81,6.54,-2.99
2023-12-16 00:00:00,1.08,3.84,-2
2023-12-15 00:00:00,5.66,7.73,1.65
2023-12-14 00:00:00,8.24,8.8,7.28
2023-12-13 00:00:00,9.79,12.06,7.86
2023-12-12 00:00:00,7.46,12.92,3.02
2023-12-11 00:00:00,5.04,10.57,2.17
2023-12-10 00:00:00,2.42,4.1,0.01
2023-12-09 00:00:00,1.65,5.36,-2.95
2023-12-08 00:00:00,1.92,3.42,-1.95
2023-12-07 00:00:00,3.02,4.33,1.5
2023-12-06 00:00:00,2.37,5.33,0.27
2023-12-05 00:00:00,2.18,6.1,0.02
2023-12-04 00:00:00,-1.05,2.58,-5.86
2023-12-03 00:00:00,1.28,4.48,-2.88
2023-12-02 00:00:00,14.44,20.71,5.04
2023-12-01 00:00:00,12.51,18.64,6.48
2023-11-30 00:00:00,2.77,6.7,-2
2023-11-29 00:00:00,2.43,5.16,-1.78
2023-11-28 00:00:00,5.19,7.22,3.01
2023-11-27 00:00:00,4.17,10,-1
2023-11-26 00:00:00,1.54,3.87,0
2023-11-25 00:00:00,3.79,4.61,1.55
2023-11-24 00:00:00,3.63,7.97,0
2023-11-23 00:00:00,2.36,4.86,0.09
2023-11-22 00:00:00,7.47,8.63,3.55
2023-11-21 00:00:00,7.77,11.83,4.33
2023-11-20 00:00:00,7.11,14.22,3.11
2023-11-19 00:00:00,3.98,7.97,0.73
2023-11-18 00:00:00,5.07,7.42,2.6
2023-11-17 00:00:00,8.22,9.98,4.79
2023-11-16 00:00:00,9.77,14.63,6.94
2023-11-15 00:00:00,11.64,14.37,8.55
2023-11-14 00:00:00,11.47,19.58,5.2
2023-11-13 00:00:00,8.43,15.91,3.21
2023-11-12 00:00:00,6.18,13.42,0.75
2023-11-11 00:00:00,9.48,12.11,5.92
2023-11-10 00:00:00,9.22,14.69,5.21
2023-11-09 00:00:00,6.87,15.12,1.17
